Sample,TechnicalReplicates,BiologicalReplicate,SequencingDate,Sample_orig,SpeciesCode,Site,CollectionDate,Wt_g,TL_cm,SL_cm,FL_cm,Intest_Wt_g,Liver_Wt_g,Gonad_Wt_g,Gonad_MF,StCtns_Wt_g,Fatty
ACNF043,ACNF043,ACNF043,8.23.19,ACNF043_8.19,ACNF,ChinaWalls_OAH,11/8/16,49.07,14.2,10.3,12.2,4.4,0.43,NA,NA,0.21,N
ACNF044,ACNF044,ACNF044,8.23.19,ACNF044_8.19,ACNF,ChinaWalls_OAH,11/8/16,72.81,16.4,12.5,14.6,6.72,0.66,NA,NA,0.24,N
ACNF045,ACNF045,ACNF045,9.3.19,ACNF045_9.6.19,ACNF,ChinaWalls_OAH,11/8/16,47.66,14.5,10.2,12.3,4.94,0.5,NA,NA,0.16,N
ACNF046,ACNF046,ACNF046,8.23.19,ACNF046_8.19,ACNF,ChinaWalls_OAH,11/8/16,47.26,14.4,10.2,12,5.45,0.25,NA,NA,0.2,N
ACNF047,ACNF047,ACNF047,9.3.19,ACNF047_9.6.19,ACNF,ChinaWalls_OAH,11/8/16,37.68,13,9.1,11,2.48,0.25,0.06,NA,0.13,N
ACNF048,ACNF048,ACNF048,9.3.19,ACNF048_9.6.19,ACNF,ChinaWalls_OAH,11/8/16,50.92,15.1,10.9,12.8,3.37,0.43,0.06,NA,0.21,~
ACNF049,ACNF049,ACNF049,9.3.19,ACNF049_9.6.19,ACNF,ChinaWalls_OAH,11/8/16,48.82,15.3,11,13,4.71,0.43,NA,NA,0.27,N
ACNF050,ACNF050,ACNF050,9.3.19,ACNF050_9.6.19,ACNF,ChinaWalls_OAH,11/8/16,56.64,15.4,11.1,13,5.06,0.29,0.04,M?,0.13,N
ACNF051A,ACNF051A,ACNF051,9.3.19,ACNF051_9.6.19_dupACNF052,ACNF,ChinaWalls_OAH,11/8/16,81.47,16.5,12.1,14,8.23,1.17,0.1,M,0.42,N
ACNF051B,ACNF051B,ACNF051,8.23.19,ACNF052_8.19_dupACNF051,ACNF,ChinaWalls_OAH,11/8/16,81.47,16.5,12.1,14,8.23,1.17,0.1,M,0.42,N
ACNF053,ACNF053,ACNF053,8.23.19,ACNF053_8.19,ACNF,ChinaWalls_OAH,11/8/16,54.85,15.1,10.7,12.8,4.4,0.49,NA,NA,0.19,N
ACNF054,ACNF054,ACNF054,9.3.19,ACNF054_9.6.19,ACNF,ChinaWalls_OAH,11/8/16,41.88,15,11.3,12.9,4.39,0.29,NA,NA,0.25,N
ACNF055.dup1,ACNF055,ACNF055,8.23.19,ACNF055_8.19,ACNF,ChinaWalls_OAH,11/8/16,53.81,14.6,10.4,12.3,6.07,0.38,NA,NA,0.23,N
ACNF055.dup2,ACNF055,ACNF055,9.3.19,ACNF055_9.6.19,ACNF,ChinaWalls_OAH,11/8/16,53.81,14.6,10.4,12.3,6.07,0.38,NA,NA,0.23,N
